Mode,Frequency [Hz]
1,82.419
2,312.84
3,511.09
4,1021.4
5,1407.8
6,1705.7
7,1974
8,2132.8
9,2677
10,2700.7
11,3256.2
12,3637.6
13,4333.3
14,4867.7
15,4914.9
16,5459.7
17,5873.5
18,6234.5
19,6265.6
20,6386
21,6481
22,6664.9
23,6777.3
24,7806.7
25,8311.9
26,8442.4
27,8919.5
28,9240.6
29,9965.9
30,10285
31,10382
32,10816
33,10932
34,10934
35,11266
36,11881
37,12638
38,12857
39,12901
40,13118
41,13348
42,13770
43,14605
44,14976
45,15067
46,15222
47,15486
48,16001
49,16016
50,16199
51,16330
52,16399
53,16804
54,17265
55,17618
56,17850
57,18254
58,18749
59,19117
60,19143
61,19146
62,19685
63,20272
64,20351
65,20642
66,20920
67,21143
68,21229
69,21568
70,21589
71,21911
72,21925
73,22209
74,22258
75,22355
76,22592
77,23006
78,23151
79,23908
80,24223
81,24249
82,24446
83,24781
84,24845
85,24960
86,25222
87,25557
88,25806
89,26126
90,26258
91,26860
92,27051
93,27053
94,27363
95,27425
96,27435
97,27537
98,27681
99,28010
100,28232
