Mode,Frequency [Hz]
1,61.665
2,161.35
3,383.84
4,575.05
5,790.21
6,1059.9
7,1069.3
8,1183.7
9,1258.8
10,1875.7
11,2051.5
12,2076.4
13,2257.5
14,2389.5
15,2863.7
16,3029.1
17,3385.6
18,3425.2
19,3563.3
20,3929.4
21,3974.7
22,4138
23,4226.3
24,4741.6
25,4788.5
26,4982
27,5143.4
28,5213.7
29,5650.1
30,5720.4
31,6362.5
32,6614.2
33,6689.8
34,6724.1
35,6806.8
36,6839.3
37,6991.3
38,7140.7
39,7533
40,7919.3
41,8099.9
42,8249.3
43,8499
44,8696.4
45,8912.5
46,8979.3
47,9044.7
48,9075.1
49,9303.4
50,9527.1
51,9595
52,9942.5
53,10010
54,10317
55,10335
56,10347
57,10509
58,10721
59,11204
60,11350
61,11684
62,11841
63,11900
64,11912
65,12031
66,12687
67,12737
68,12918
69,12921
70,13173
71,13342
72,13676
73,13745
74,13818
75,13936
76,14004
77,14029
78,14291
79,14408
80,14412
81,14888
82,15114
83,15135
84,15165
85,15795
86,16026
87,16052
88,16116
89,16304
90,16366
91,16442
92,16515
93,16707
94,16903
95,17109
96,17121
97,17384
98,17700
99,17706
100,17737
