Mode,Frequency [Hz]
1,67.086
2,278.47
3,416.48
4,909.21
5,1165.3
6,1381.9
7,1753.3
8,1799.8
9,2282
10,2434.4
11,2900.8
12,3379.4
13,3819.1
14,4362.2
15,4675
16,4804.7
17,5032.5
18,5231.8
19,5308.4
20,5665.8
21,6175.9
22,6259.9
23,6358.4
24,7600.8
25,7853.5
26,8139.5
27,8435.8
28,9181.2
29,9256.5
30,9648
31,10337
32,10382
33,10613
34,10920
35,10943
36,11208
37,11841
38,12862
39,13224
40,13420
41,13499
42,13723
43,13945
44,14494
45,14874
46,15318
47,15389
48,15696
49,15935
50,16165
51,16373
52,16868
53,17377
54,17548
55,17643
56,18124
57,18739
58,18766
59,18941
60,19472
61,19689
62,19770
63,20154
64,20246
65,20820
66,21335
67,21672
68,21828
69,21875
70,22086
71,22231
72,22882
73,22981
74,22994
75,23481
76,23901
77,24073
78,24180
79,25140
80,25219
81,25481
82,25502
83,25781
84,26009
85,26518
86,26535
87,27291
88,27446
89,27491
90,27767
91,28183
92,28724
93,29107
94,29254
95,29430
96,29612
97,29675
98,30041
99,30624
100,30740
