Mode no,Data,m*b term,"class0-A,1-B"
1,67.086,1663,1
2,278.47,1663,1
3,416.48,1663,1
4,909.21,1663,1
5,1165.3,1663,1
6,1381.9,1663,1
7,1753.3,1663,1
8,1799.8,1663,1
9,2282,1663,1
10,2434.4,1663,1
11,2900.8,1663,1
12,3379.4,1663,1
13,3819.1,1663,1
14,4362.2,1663,1
15,4675,1663,1
16,4804.7,1663,1
17,5032.5,1663,1
18,5231.8,1663,1
19,5308.4,1663,1
20,5665.8,1663,1
21,6175.9,1663,1
22,6259.9,1663,1
23,6358.4,1663,1
24,7600.8,1663,1
25,7853.5,1663,1
26,8139.5,1663,1
27,8435.8,1663,1
28,9181.2,1663,1
29,9256.5,1663,1
30,9648,1663,1
31,10337,1663,1
32,10382,1663,1
33,10613,1663,1
34,10920,1663,1
35,10943,1663,1
36,11208,1663,1
37,11841,1663,1
38,12862,1663,1
39,13224,1663,1
40,13420,1663,1
41,13499,1663,1
42,13723,1663,1
43,13945,1663,1
44,14494,1663,1
45,14874,1663,1
46,15318,1663,1
47,15389,1663,1
48,15696,1663,1
49,15935,1663,1
50,16165,1663,1
51,16373,1663,1
52,16868,1663,1
53,17377,1663,1
54,17548,1663,1
55,17643,1663,1
56,18124,1663,1
57,18739,1663,1
58,18766,1663,1
59,18941,1663,1
60,19472,1663,1
61,19689,1663,1
62,19770,1663,1
63,20154,1663,1
64,20246,1663,1
65,20820,1663,1
66,21335,1663,1
67,21672,1663,1
68,21828,1663,1
69,21875,1663,1
70,22086,1663,1
71,22231,1663,1
72,22882,1663,1
73,22981,1663,1
74,22994,1663,1
75,23481,1663,1
76,23901,1663,1
77,24073,1663,1
78,24180,1663,1
79,25140,1663,1
80,25219,1663,1
1,66.376,4515,0
2,280.78,4515,0
3,412.82,4515,0
4,913.77,4515,0
5,1154.9,4515,0
6,1381.4,4515,0
7,1754.1,4515,0
8,1780,4515,0
9,2261.5,4515,0
10,2409.3,4515,0
11,2891.7,4515,0
12,3367.1,4515,0
13,3768.4,4515,0
14,4343,4515,0
15,4655.2,4515,0
16,4737.4,4515,0
17,5016,4515,0
18,5247.7,4515,0
19,5258.9,4515,0
20,5592.1,4515,0
21,6130.9,4515,0
22,6225.9,4515,0
23,6292.5,4515,0
24,7543.2,4515,0
25,7753.9,4515,0
26,8086.8,4515,0
27,8358.4,4515,0
28,9061.2,4515,0
29,9189.1,4515,0
30,9525,4515,0
31,10240,4515,0
32,10264,4515,0
33,10480,4515,0
34,10819,4515,0
35,11013,4515,0
36,11124,4515,0
37,11719,4515,0
38,12749,4515,0
39,13058,4515,0
40,13319,4515,0
41,13366,4515,0
42,13596,4515,0
43,14082,4515,0
44,14562,4515,0
45,14685,4515,0
46,15117,4515,0
47,15258,4515,0
48,15548,4515,0
49,15797,4515,0
50,15974,4515,0
51,16166,4515,0
52,16696,4515,0
53,17176,4515,0
54,17495,4515,0
55,17560,4515,0
56,18267,4515,0
57,18578,4515,0
58,18586,4515,0
59,18743,4515,0
60,19532,4515,0
61,19551,4515,0
62,19845,4515,0
63,19988,4515,0
64,20045,4515,0
65,20615,4515,0
66,21025,4515,0
67,21429,4515,0
68,21635,4515,0
69,21824,4515,0
70,21905,4515,0
71,21979,4515,0
72,22625,4515,0
73,22764,4515,0
74,22784,4515,0
75,23197,4515,0
76,23667,4515,0
77,23790,4515,0
78,24386,4515,0
79,24916,4515,0
80,25229,4515,0
81,25481,1663,1
82,25502,1663,1
83,25781,1663,1
84,26009,1663,1
85,26518,1663,1
86,26535,1663,1
87,27291,1663,1
88,27446,1663,1
89,27491,1663,1
90,27767,1663,1
91,28183,1663,1
92,28724,1663,1
93,29107,1663,1
94,29254,1663,1
95,29430,1663,1
96,29612,1663,1
97,29675,1663,1
98,30041,1663,1
99,30624,1663,1
100,30740,1663,1
81,25255,4515,0
82,25323,4515,0
83,25526,4515,0
84,25783,4515,0
85,26574,4515,0
86,26738,4515,0
87,27008,4515,0
88,27131,4515,0
89,27315,4515,0
90,27510,4515,0
91,27946,4515,0
92,28469,4515,0
93,29007,4515,0
94,29149,4515,0
95,29280,4515,0
96,29331,4515,0
97,29380,4515,0
98,29672,4515,0
99,30377,4515,0
100,30759,4515,0
