Mode,Frequency [Hz],M*B,Tag(0 or 1)
1,82.419,279739,0
2,312.84,279739,0
3,511.09,279739,0
4,1021.4,279739,0
5,1407.8,279739,0
6,1705.7,279739,0
7,1974,279739,0
8,2132.8,279739,0
9,2677,279739,0
10,2700.7,279739,0
11,3256.2,279739,0
12,3637.6,279739,0
13,4333.3,279739,0
14,4867.7,279739,0
15,4914.9,279739,0
16,5459.7,279739,0
17,5873.5,279739,0
18,6234.5,279739,0
19,6265.6,279739,0
20,6386,279739,0
21,6481,279739,0
22,6664.9,279739,0
23,6777.3,279739,0
24,7806.7,279739,0
25,8311.9,279739,0
26,8442.4,279739,0
27,8919.5,279739,0
28,9240.6,279739,0
29,9965.9,279739,0
30,10285,279739,0
31,10382,279739,0
32,10816,279739,0
33,10932,279739,0
34,10934,279739,0
35,11266,279739,0
36,11881,279739,0
37,12638,279739,0
38,12857,279739,0
39,12901,279739,0
40,13118,279739,0
41,13348,279739,0
42,13770,279739,0
43,14605,279739,0
44,14976,279739,0
45,15067,279739,0
46,15222,279739,0
47,15486,279739,0
48,16001,279739,0
49,16016,279739,0
50,16199,279739,0
51,16330,279739,0
52,16399,279739,0
53,16804,279739,0
54,17265,279739,0
55,17618,279739,0
56,17850,279739,0
57,18254,279739,0
58,18749,279739,0
59,19117,279739,0
60,19143,279739,0
61,19146,279739,0
62,19685,279739,0
63,20272,279739,0
64,20351,279739,0
65,20642,279739,0
66,20920,279739,0
67,21143,279739,0
68,21229,279739,0
69,21568,279739,0
70,21589,279739,0
71,21911,279739,0
72,21925,279739,0
73,22209,279739,0
74,22258,279739,0
75,22355,279739,0
76,22592,279739,0
77,23006,279739,0
78,23151,279739,0
79,23908,279739,0
80,24223,279739,0
1,61.665,43094,1
2,161.35,43094,1
3,383.84,43094,1
4,575.05,43094,1
5,790.21,43094,1
6,1059.9,43094,1
7,1069.3,43094,1
8,1183.7,43094,1
9,1258.8,43094,1
10,1875.7,43094,1
11,2051.5,43094,1
12,2076.4,43094,1
13,2257.5,43094,1
14,2389.5,43094,1
15,2863.7,43094,1
16,3029.1,43094,1
17,3385.6,43094,1
18,3425.2,43094,1
19,3563.3,43094,1
20,3929.4,43094,1
21,3974.7,43094,1
22,4138,43094,1
23,4226.3,43094,1
24,4741.6,43094,1
25,4788.5,43094,1
26,4982,43094,1
27,5143.4,43094,1
28,5213.7,43094,1
29,5650.1,43094,1
30,5720.4,43094,1
31,6362.5,43094,1
32,6614.2,43094,1
33,6689.8,43094,1
34,6724.1,43094,1
35,6806.8,43094,1
36,6839.3,43094,1
37,6991.3,43094,1
38,7140.7,43094,1
39,7533,43094,1
40,7919.3,43094,1
41,8099.9,43094,1
42,8249.3,43094,1
43,8499,43094,1
44,8696.4,43094,1
45,8912.5,43094,1
46,8979.3,43094,1
47,9044.7,43094,1
48,9075.1,43094,1
49,9303.4,43094,1
50,9527.1,43094,1
51,9595,43094,1
52,9942.5,43094,1
53,10010,43094,1
54,10317,43094,1
55,10335,43094,1
56,10347,43094,1
57,10509,43094,1
58,10721,43094,1
59,11204,43094,1
60,11350,43094,1
61,11684,43094,1
62,11841,43094,1
63,11900,43094,1
64,11912,43094,1
65,12031,43094,1
66,12687,43094,1
67,12737,43094,1
68,12918,43094,1
69,12921,43094,1
70,13173,43094,1
71,13342,43094,1
72,13676,43094,1
73,13745,43094,1
74,13818,43094,1
75,13936,43094,1
76,14004,43094,1
77,14029,43094,1
78,14291,43094,1
79,14408,43094,1
80,14412,43094,1
81,24249,279739,0
82,24446,279739,0
83,24781,279739,0
84,24845,279739,0
85,24960,279739,0
86,25222,279739,0
87,25557,279739,0
88,25806,279739,0
89,26126,279739,0
90,26258,279739,0
91,26860,279739,0
92,27051,279739,0
93,27053,279739,0
94,27363,279739,0
95,27425,279739,0
96,27435,279739,0
97,27537,279739,0
98,27681,279739,0
99,28010,279739,0
100,28232,279739,0
81,14888,43094,1
82,15114,43094,1
83,15135,43094,1
84,15165,43094,1
85,15795,43094,1
86,16026,43094,1
87,16052,43094,1
88,16116,43094,1
89,16304,43094,1
90,16366,43094,1
91,16442,43094,1
92,16515,43094,1
93,16707,43094,1
94,16903,43094,1
95,17109,43094,1
96,17121,43094,1
97,17384,43094,1
98,17700,43094,1
99,17706,43094,1
100,17737,43094,1
